"Product Version";"Official Name";"Product";"Product Line";"Product Category";"Add-On Product Version";"Current Status";"Restricted available (productive use not allowed)";"Restricted available (productive use allowed)";"Unrestricted available";"Readiness Status for SAP HANA";"Readiness Date for SAP HANA";"End of mainstream maintenance";"End of extended maintenance";"End of Priority-One Support";"End of SAP S/4HANA Cloud Safekeeper Service";"URL to Product Version in SAP Support Portal. Disclaimer: Please notice that always the online information on SAP Support Portal is the recent information!"
"SAP FIORI FOR SAP SFIN 1503";"SAP Fiori for SAP Simple Finance, on-premise edition 1503";"SAP FIORI FOR SAP SFIN";"SAP Fiori";"Technology Platform";"Yes";"Unrestricted available";"";"30.03.2015";"18.05.2015";"Ready";"";"31.12.2025";"";"";"31.03.2028";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900000242";
"SAP HANA DYNAMIC TIERING 2.0";"SAP HANA dynamic tiering 2.0";"SAP HANA DYNAMIC TIERING";"SAP HANA";"Technology Platform";"Yes";"In customer-specific maintenance";"";"02.12.2016";"02.12.2016";"";"";"30.06.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900001316";
"SAP IA AND PB BY VISTEX 6.1";"SAP Incentive Administration 6.1 by Vistex and SAP Paybacks and Chargebacks 6.1 by Vistex";"SAP INCENTIVEPAYBACK BY VISTEX";"SAP Incentive Administration by Vistex and SAP Paybacks and Chargebacks by Vistex";"Customer Relationship Management";"Yes";"Unrestricted available";"";"18.05.2021";"18.05.2021";"Ready";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900005251";
"SAP INSURANCE FS-PM 5.4";"SAP Policy Management 5.4";"SAP INSURANCE FS-PM";"SAP Policy Management";"Customer Relationship Management";"Yes";"Unrestricted available";"";"27.04.2017";"27.04.2017";"Ready";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900000366";
"SAP IS-UT CEE 6.06";"SAP ERP 6.06 mobile services for utility companies, localization for CEE";"SAP IS-UT CEE";"SAP ERP";"Enterprise Management";"Yes";"Unrestricted available";"";"08.12.2011";"07.05.2012";"";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900005616";
"SAP MFG EXECUTION 15.0";"SAP Manufacturing Execution 15.0";"SAP MFG EXECUTION";"SAP Digital Manufacturing";"Supply Chain Management";"Yes";"In customer-specific maintenance";"";"16.05.2014";"07.11.2014";"";"";"31.12.2019";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900008030";
"SAP MULTIRES SCHED W/OPT 10.0";"SAP Multiresource Scheduling 10.0 with optimizer";"SAP MULTIRES SCHED W/OPTIM";"SAP Multiresource Scheduling";"Product Lifecycle Management";"Yes";"Restricted available  (productive use allowed)";"";"12.06.2015";"";"Ready";"12.06.2015";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900000281";
"SAP PORTF AND PROJ MGMT 5.0";"SAP Portfolio and Project Management 5.0";"SAP PORTF AND PROJ MANAGEMENT";"SAP Portfolio and Project Management";"Product Lifecycle Management";"Yes";"Unrestricted available";"18.01.2010";"19.04.2010";"30.11.2010";"Ready";"18.01.2010";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900000843";
"SAP PRODUCT LIFE COST 4.0";"SAP Product Lifecycle Costing 4.0";"SAP PRODUCT LIFE COST";"SAP Product Lifecycle Costing";"Product Lifecycle Management";"Yes";"Unrestricted available";"";"08.04.2019";"08.04.2019";"Ready";"08.04.2019";"30.04.2028";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900003202";
"SAP R/3 4.6B";"SAP R/3 4.6B";"SAP R/3";"SAP R/3";"Enterprise Management";"No";"In customer-specific maintenance";"06.12.1999";"";"31.01.2000";"";"";"31.12.2003";"31.12.2006";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200245450900000019";
"SAP REPLICATION SERVER 16.0.3";"SAP Replication Server 16.0.3";"SYBASE REPLICATION SERVER";"SAP Replication Server";"Technology Platform";"No";"Unrestricted available";"";"08.06.2023";"08.06.2023";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008422";
"SAP S/4 MEAT&FISH 6.1 BY MSG";"SAP Meat and Fish Management 6.1 by msg for SAP S/4HANA";"SAP S/4 MEAT&FISH MGMT BY MSG";"SAP Meat and Fish Management by msg";"Product Lifecycle Management";"Yes";"Unrestricted available";"";"28.02.2025";"28.02.2025";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900009422";
"SAP S/4HANA FOR CUST MGMT 2.0";"SAP S/4HANA for customer management 2.0";"SAP S/4HANA FOR CUST MGMT";"SAP S/4HANA";"Enterprise Management";"Yes";"Unrestricted available";"";"04.10.2018";"04.10.2018";"";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900002147";
"SAP S/4HANA SUBSCR SD 1.0";"SAP S/4HANA for subscription billing, sales and distribution option 1.0";"SAP S/4HANA SUBSCR SD";"SAP S/4HANA";"Enterprise Management";"Yes";"Restricted available  (productive use allowed)";"";"30.09.2016";"";"Ready";"30.09.2016";"31.12.2030";"";"";"31.03.2033";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900001253";
"SAP S/4HANA TRBK 1.0";"SAP Transactional Banking for SAP S/4HANA 1.0";"SAP S/4HANA TRBK";"SAP Transactional Banking";"Financial Management";"Yes";"Unrestricted available";"";"31.10.2019";"31.10.2019";"Ready";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900002691";
"SAP SERVICE ASSET MANAGER 2405";"SAP Service and Asset Manager 2405";"SAP SERVICE AND ASSET MANAGER";"SAP Intelligent Asset Management";"Supply Chain Management";"No";"Unrestricted available";"";"10.05.2024";"10.05.2024";"Ready";"";"31.05.2026";"31.05.2028";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008440";
"SAP SOL. MANAGER 7.1 ON HANA";"SAP Solution Manager 7.1, version for SAP HANA";"SAP SOLUTION MANAGER ON HANA";"SAP Solution Manager";"Technology Platform";"No";"In customer-specific maintenance";"";"13.08.2013";"";"Ready";"";"31.12.2015";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900006370";
"SAP TM 9.4";"SAP Transportation Management 9.4";"SAP TRANSPORTATION MANAGEMENT";"SAP Transportation Management";"Supply Chain Management";"Yes";"Unrestricted available";"";"11.11.2016";"13.04.2017";"Ready";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900000385";
"SAPDSD ANDROID OD 2.0.0";"SAP Direct Store Delivery 2.0.0 for Android";"SAPDSD ANDROID OD";"SAP Direct Store Delivery";"Supply Chain Management";"No";"Unrestricted available";"";"15.09.2017";"15.09.2017";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900001961";
"SBOP ANALYSIS MS OFFICE 2.6";"SAP Analysis for Microsoft Office 2.6";"SBOP ANALYSIS MS OFFICE";"SAP Analysis for Microsoft Office";"Technology Platform";"No";"In customer-specific maintenance";"";"07.12.2017";"07.12.2017";"";"";"29.11.2019";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900002102";
"SBOP EDGE BI 4.2";"SAP BusinessObjects Business Intelligence, Edge edition 4.2, standard package";"SBOP EDGE BI";"SAP BusinessObjects Business Intelligence";"Technology Platform";"No";"Out of maintenance";"";"13.11.2015";"08.03.2016";"Ready";"";"31.12.2022";"";"31.12.2024";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900000782";
"SYBASE AFARIA 7.0";"SAP Afaria 7.0";"SYBASE AFARIA";"SAP Afaria";"Technology Platform";"No";"In customer-specific maintenance";"";"30.03.2012";"30.03.2012";"";"";"30.06.2024";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900007120";
"ASSET MANAGEMENT OIL & GAS 1.0";"asset management for oil and gas 1.0";"ASSET MANAGEMENT OIL & GAS";"asset management for oil and gas";"Supply Chain Management";"Yes";"Restricted available  (productive use allowed)";"";"15.11.2013";"";"Ready";"30.04.2015";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900007174";
"C21 FOR S4 ON SCP OD 1.0";"SAP Sustainability Footprint Management 1.0";"C21 FOR S4 ON SCP OD";"Climate 21";"Product Lifecycle Management";"Yes";"Unrestricted available";"27.04.2021";"31.08.2021";"31.08.2021";"";"";"01.03.2030";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900005271";
"CRYSTAL REPORTS 2016 FOR B1";"SAP Crystal Reports 2016, version for the SAP Business One application";"SAP CRYSTAL REPORTS FOR B1";"SAP Crystal Reports";"Technology Platform";"No";"In customer-specific maintenance";"";"12.03.2018";"";"Ready";"23.03.2018";"31.12.2022";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900002441";
"CRYSTAL REPORTS VIEWER 2020";"SAP Crystal Reports viewer 2020";"CRYSTAL REPORTS VIEWER";"SAP Crystal Reports";"Technology Platform";"No";"Unrestricted available";"";"12.06.2020";"12.06.2020";"";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900001850";
"DATA SYNC FRAMEWORK 1.1";"advanced data synchronization framework 1.1";"DATA SYNC FRAMEWORK";"SAP Mobile Asset Management";"Enterprise Management";"Yes";"Restricted available  (productive use allowed)";"";"16.10.2020";"";"Ready";"12.10.2020";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900005405";
"DIGITAL PAYMENTS OD 1.0";"SAP digital payments add-on 1.0";"DIGITAL PAYMENTS OD";"SAP digital payments add-on";"Financial Management";"Yes";"Restricted available  (productive use allowed)";"";"09.05.2017";"";"";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900001792";
"EHP4 FOR SAP LEARNING SOL 6.0";"SAP enhancement package 4 for SAP Learning Solution 6.0";"SAP LEARNING SOLUTION";"SAP Learning Solution";"Human Capital Management";"Yes";"Unrestricted available";"";"21.11.2008";"05.05.2009";"";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900001608";
"ENTERPR THREAT DETECTON OD 1.0";"SAP Enterprise Threat Detection 1.0, cloud edition";"ENTERPRS THREAT DETECT OD";"SAP Enterprise Threat Detection";"Technology Platform";"No";"Unrestricted available";"";"19.02.2021";"19.02.2021";"";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900004644";
"FOCUSED RUN 2.0";"SAP Focused Run 2.0";"FOCUSED RUN";"SAP Solution Manager";"Technology Platform";"Yes";"In customer-specific maintenance";"";"10.12.2018";"10.12.2018";"";"";"19.11.2021";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900002932";
"GRC DPP OD 1.0";"SAP Privacy Governance 1.0";"GRC DPP";"SAP Privacy Governance";"Technology Platform";"Yes";"Unrestricted available";"";"25.06.2018";"25.06.2018";"";"";"";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900002591";
"MULTI-BANK CONN CLOUD 1.0";"SAP Multi-Bank Connectivity 1.0";"MULTI-BANK CONNECTIVITY";"SAP Multi-Bank Connectivity";"Financial Management";"Yes";"Restricted available  (productive use allowed)";"";"01.12.2021";"";"Ready";"30.11.2021";"31.12.2099";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900006003";
"OT HYBRIS DIGITAL DOCS 16.6.5";"SAP Digital Documents 16.6.5 by OpenText";"SAP HYBRIS DIGITAL DOCS BY OT";"SAP Customer Data Cloud";"Customer Relationship Management";"Yes";"Unrestricted available";"";"31.03.2022";"31.03.2022";"";"";"30.11.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900006289";
"REA 6.10";"recycling administration 1.0";"RECYCLING ADMINISTRATION";"recycling administration";"Product Lifecycle Management";"Yes";"Unrestricted available";"";"25.01.2007";"09.02.2007";"";"";"31.12.2030";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900001432";
"S/4 INSURANCE FS-RI 8.4";"SAP S/4HANA Insurance for reinsurance management 8.4";"SAP S/4HANA INSURANCE FS-RI";"SAP S/4HANA";"Enterprise Management";"Yes";"Unrestricted available";"";"28.01.2022";"28.01.2022";"Ready";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900005552";
"S/4HANA IA_PB BY VISTEX 2022";"SAP Incentive Administration and SAP Paybacks and Chargebacks by Vistex for SAP S/4HANA 2022";"S/4HANA IA_PB BY VISTEX";"SAP Incentive Administration by Vistex and SAP Paybacks and Chargebacks by Vistex";"Customer Relationship Management";"Yes";"Unrestricted available";"";"01.12.2022";"01.12.2022";"Ready";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900006683";
"S/4HANA PROCMT INTG W/ S4H 1.0";"SAP Ariba Central Procurement 1.0";"S/4HANA PROCMT INTG W/ S4H";"SAP Ariba Central Procurement";"Supplier Relationship Management";"Yes";"Restricted available  (productive use allowed)";"";"05.02.2018";"";"";"";"31.12.2026";"31.12.2030";"";"31.03.2033";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900002181";
"S4 CELL GENE THRPY ORCH 2311";"SAP S/4HANA, add-on for SAP Cell and Gene Therapy Orchestration 2311";"S4 CELL GENE THRPY ORCH";"SAP Cell and Gene Therapy Orchestration";"Supply Chain Management";"Yes";"Unrestricted available";"";"03.11.2023";"27.03.2024";"Ready";"03.11.2023";"26.04.2026";"";"";"31.03.2030";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008252";
"SAP ADA CLOUD BY OT 22.4";"SAP Archiving and Document Access Core 22.4 by OpenText";"SAP ADA CLOUD ETD.";"SAP Archiving and Document Access by OpenText";"Technology Platform";"Yes";"Unrestricted available";"";"15.05.2023";"15.05.2023";"";"";"30.11.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900006654";
"SAP ADA CLOUD BY OT 23.4";"SAP Archiving and Document Access Core 23.4 by OpenText";"SAP ADA CLOUD ETD.";"SAP Archiving and Document Access by OpenText";"Technology Platform";"Yes";"Unrestricted available";"";"28.12.2023";"28.12.2023";"";"";"30.09.2028";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008337";
"SAP BPA 9.1 BY REDWOOD";"SAP Business Process Automation 9.1 by Redwood";"SAP BPA BY REDWOOD";"SAP Business Process Automation by Redwood";"Technology Platform";"Yes";"In customer-specific maintenance";"";"14.02.2018";"14.02.2018";"Ready";"";"31.12.2024";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900002370";
"SAP CM BY DIGITALROUTE 4.5";"SAP Convergent Mediation 4.5 by DigitalRoute";"SAP CM BY DIGITALROUTE";"SAP Billing and Revenue Innovation Management";"Financial Management";"No";"Unrestricted available";"";"08.03.2022";"08.03.2022";"Ready";"";"31.12.2025";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900006552";
"SAP CORE CEE 110_604";"SAP ERP, localization for CEE countries 110_604";"SAP CORE CEE";"SAP ERP";"Enterprise Management";"Yes";"Unrestricted available";"";"21.11.2008";"21.11.2008";"Ready";"";"31.12.2027";"31.12.2030";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900001617";
"SAP CRYSTAL SERVER 2020";"SAP Crystal Server 2020";"SAP CRYSTAL SERVER";"SAP Crystal Server";"Technology Platform";"No";"Unrestricted available";"";"12.06.2020";"12.06.2020";"";"";"31.12.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900001859";
"SAP DP BY OT 16.6.9";"SAP Document Presentment 16.6.9 by OpenText";"SAP DOC. PRESENTMENT BY OT";"SAP Document Presentment by OpenText";"Technology Platform";"Yes";"Unrestricted available";"";"19.06.2024";"19.06.2024";"Ready";"";"29.09.2028";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900008702";
"SAP DP BY OT CLD 21.4";"SAP Document Presentment 21.4 by OpenText, cloud edition";"SAP DOC.PRSNTMENT BYOT CLD EDT";"SAP Document Presentment by OpenText";"Technology Platform";"Yes";"Unrestricted available";"";"31.03.2022";"31.03.2022";"";"";"30.11.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900006328";
"SAP EHP1 FOR SAP NW MOBILE 7.3";"SAP enhancement package 1 for SAP NetWeaver Mobile 7.3";"SAP NETWEAVER MOBILE";"SAP NetWeaver";"Technology Platform";"Yes";"Unrestricted available";"";"21.11.2011";"16.05.2012";"";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900004346";
"SAP ENTPSE CTNS TSTNG OD2024.1";"SAP Enterprise Continuous Testing by Tricentis 2024.1";"SAP ENTRPRISE CNTNUS TSTNG OD";"SAP application testing solutions by Tricentis";"Enterprise Management";"No";"Unrestricted available";"";"24.10.2024";"24.10.2024";"";"";"28.02.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900008052";
"SAP ERP HCM - PS LOCBR 608";"SAP enhancement package 8 for SAP ERP HCM 6.0, localization for Brazil public sector";"SAP ERP HCM - PS LOCBR";"SAP ERP";"Enterprise Management";"Yes";"Unrestricted available";"";"10.11.2014";"10.11.2014";"";"";"31.12.2027";"31.12.2030";"";"31.03.2033";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900000033";
"SAP GTS 3.0 FOR BASIS 6.40";"SAP Global Trade Services 3.0 for Baseline 6.40";"SAP GLOBAL TRADE SERVICES";"SAP Global Trade Services";"Financial Management";"Yes";"In customer-specific maintenance";"";"28.10.2004";"03.03.2005";"";"";"31.12.2008";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900001234";
"SAP HANA ANALYTICS FOR GBT 1.0";"SAP HANA Live 1.0 for SAP Global Batch Traceability";"SAP HANA ANALYTICS FOR GBT";"SAP HANA Live";"Technology Platform";"Yes";"Unrestricted available";"";"22.04.2015";"22.04.2015";"Ready";"";"31.12.2027";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900000448";
"SAP INSURANCE FS-PM 5.3";"SAP Policy Management 5.3";"SAP INSURANCE FS-PM";"SAP Policy Management";"Customer Relationship Management";"Yes";"In customer-specific maintenance";"";"07.07.2015";"07.07.2015";"";"";"31.12.2022";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67838200100900007117";
"SAP LABEL&POSTER PRT BY GK 7.6";"SAP Label and Poster Printing 7.6 by GK";"SAP LABEL & POSTER PRINT BY GK";"SAP Store Management by GK";"Customer Relationship Management";"No";"Unrestricted available";"";"17.07.2023";"17.07.2023";"";"";"30.06.2026";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73555000100900006994";
"SAP LUMIRA 1.0";"SAP Lumira, desktop edition 1.0";"SAP LUMIRA DESKTOP";"SAP Lumira";"Technology Platform";"No";"In customer-specific maintenance";"07.05.2012";"11.05.2012";"15.05.2012";"Ready";"07.05.2012";"31.08.2018";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D67837800100900006823";
"SAP MDM 5.5";"SAP NetWeaver Master Data Management 5.5";"SAP MDM";"SAP NetWeaver";"Technology Platform";"No";"In customer-specific maintenance";"";"01.03.2005";"17.11.2005";"";"";"31.03.2010";"31.03.2013";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200615320900001348";
"SAP MFG EXECUTION 15.1";"SAP Manufacturing Execution 15.1";"SAP MFG EXECUTION";"SAP Digital Manufacturing";"Supply Chain Management";"Yes";"In customer-specific maintenance";"";"26.10.2015";"25.01.2016";"";"";"31.12.2022";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D73554900100900000512";
"SAP MII 12.2";"SAP Manufacturing Integration and Intelligence 12.2";"SAP MII";"SAP Digital Manufacturing";"Supply Chain Management";"Yes";"In customer-specific maintenance";"14.01.2010";"16.06.2010";"17.08.2011";"";"";"31.12.2017";"";"";"";"https://userapps.support.sap.com/sap/support/pam?hash=pvnr%3D01200314690900001476";
